                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                  1.061,                0.66185,                0.98682,                0.87687,                0.77665,                0.83829,                0.61122,                 1.0054,                0.56923,                0.95356,               0.003664,               0.003664,               0.003664
                     66,                 1.0448,                 0.6568,                0.98333,                0.87667,                0.77752,                0.83847,                0.61109,                 1.0049,                0.56857,                0.95336,               0.003565,               0.003565,               0.003565
                     67,                 1.0557,                0.65759,                0.98293,                0.87803,                0.77596,                0.83911,                 0.6118,                 1.0045,                0.56787,                0.95296,               0.003466,               0.003466,               0.003466
                     68,                 1.0545,                0.65432,                0.98357,                0.88185,                0.77395,                0.83944,                0.61213,                 1.0041,                 0.5671,                0.95278,               0.003367,               0.003367,               0.003367
                     69,                 1.0505,                0.65384,                 0.9831,                0.87568,                0.77937,                0.83961,                0.61272,                 1.0034,                0.56619,                0.95249,               0.003268,               0.003268,               0.003268
                     70,                 1.0466,                0.65199,                0.98411,                0.87815,                0.77814,                0.84035,                0.61275,                 1.0031,                0.56543,                0.95239,               0.003169,               0.003169,               0.003169
                     71,                  1.039,                0.64638,                0.98063,                0.87626,                0.77918,                0.84126,                0.61236,                  1.003,                0.56505,                0.95203,                0.00307,                0.00307,                0.00307
                     72,                 1.0424,                0.64366,                0.97966,                0.87909,                0.77676,                0.84103,                0.61275,                 1.0028,                0.56487,                0.95189,               0.002971,               0.002971,               0.002971
                     73,                 1.0468,                 0.6391,                0.97823,                0.87535,                0.77988,                0.84126,                0.61301,                 1.0027,                0.56442,                0.95172,               0.002872,               0.002872,               0.002872
                     74,                 1.0407,                0.63962,                0.97827,                0.87654,                0.77898,                0.84121,                0.61323,                 1.0018,                 0.5638,                0.95147,               0.002773,               0.002773,               0.002773
                     75,                 1.0294,                0.62997,                0.97733,                0.87624,                0.77905,                0.84098,                0.61332,                 1.0015,                0.56314,                0.95132,               0.002674,               0.002674,               0.002674
                     76,                 1.0348,                0.63194,                 0.9747,                0.87679,                0.78001,                0.84137,                0.61344,                 1.0014,                0.56238,                0.95114,               0.002575,               0.002575,               0.002575
                     77,                 1.0286,                0.62692,                0.97507,                0.87672,                0.78045,                0.84182,                0.61398,                 1.0016,                0.56209,                 0.9512,               0.002476,               0.002476,               0.002476
                     78,                 1.0329,                0.62835,                0.97304,                0.87628,                0.78139,                0.84189,                0.61429,                  1.002,                0.56198,                 0.9513,               0.002377,               0.002377,               0.002377
                     79,                 1.0275,                  0.628,                0.97479,                0.87344,                0.78328,                0.84179,                0.61423,                 1.0019,                0.56157,                0.95131,               0.002278,               0.002278,               0.002278
                     80,                 1.0288,                0.62461,                0.97277,                0.87326,                0.78347,                0.84178,                0.61428,                 1.0018,                0.56128,                0.95125,               0.002179,               0.002179,               0.002179
                     81,                  1.033,                0.62464,                0.97176,                0.87371,                0.78315,                0.84163,                0.61453,                 1.0016,                0.56087,                 0.9512,                0.00208,                0.00208,                0.00208
                     82,                 1.0198,                0.61474,                0.96738,                0.87506,                0.78221,                0.84161,                0.61463,                 1.0011,                0.56028,                0.95108,               0.001981,               0.001981,               0.001981
                     83,                 1.0179,                0.61336,                0.96927,                0.87627,                0.78177,                0.84171,                0.61425,                 1.0008,                0.56012,                  0.951,               0.001882,               0.001882,               0.001882
                     84,                 1.0116,                0.61276,                0.96985,                0.87616,                0.78226,                0.84181,                0.61454,                 1.0005,                0.55955,                0.95086,               0.001783,               0.001783,               0.001783
                     85,                 1.0091,                0.61246,                0.96815,                0.87815,                0.78268,                0.84199,                0.61453,                 1.0002,                0.55925,                0.95072,               0.001684,               0.001684,               0.001684
                     86,                  1.014,                0.60706,                0.96726,                0.87724,                0.78223,                0.84198,                0.61468,                 1.0002,                0.55884,                0.95065,               0.001585,               0.001585,               0.001585
                     87,                  1.025,                0.61408,                0.97127,                0.87716,                0.78259,                0.84213,                0.61459,                      1,                0.55853,                0.95065,               0.001486,               0.001486,               0.001486
                     88,                 1.0102,                0.60727,                0.96782,                0.87575,                0.78437,                0.84246,                0.61512,                 1.0001,                0.55824,                0.95063,               0.001387,               0.001387,               0.001387
